State,Year,admission_rate_per_100k,admission_rate_lag2,neighbor_admission_rate_lag1,search_PC1,search_PC2,search_PC3,log_state_population
Kentucky,2019,408.06333142903776,501.617069793226,526.9224451586049,1.2122557873058777,0.7133963851304589,-0.102426582687838,15.313423437531938
Kentucky,2020,380.81403075235227,449.1212790974029,506.9308510696481,0.3619561031405746,1.1997778383849071,0.30610709996953983,15.31451979998035
Louisiana,2016,595.9824375297189,474.6081415636627,415.10206685386856,-1.2789738580740115,-0.07062150628289839,2.176373054941195,15.359096233380518
Louisiana,2017,460.0236259575713,560.3173603245598,388.4685566097061,-0.6634271657837767,0.282420690790235,1.4910093599005947,15.357455830144433
Louisiana,2018,454.5016025469241,595.9824375297189,399.4071891900235,0.09502095278256165,1.398038063585571,0.49745649383083906,15.355480486063186
Louisiana,2019,549.5584748464295,460.0236259575713,412.8851252680904,0.48236458096572715,1.7701474451981445,0.30839294418033353,15.354157912612658
Louisiana,2020,430.5410307755034,454.5016025469241,433.51911330186135,0.6581409615233712,1.505841187043731,-0.091825024396592,15.35137038859719
Maine,2016,337.74959695214767,484.5190528666626,432.9234155184374,-3.2950069283464947,-0.6291205731331607,0.8172113937541651,14.102453357220952
Maine,2017,348.1208585783343,406.2905820338305,394.8210262854579,-3.5476800146020184,-0.4795679714983125,0.023435982015368815,14.104998249304696
Maine,2018,328.3280713785227,337.74959695214767,407.01229080593055,-0.7464063367261806,1.283649912387974,-1.8691939711148902,14.10827195875933
Maine,2019,356.6731313671727,348.1208585783343,408.6863708548655,-1.107389102969775,0.6320392944447694,-1.3473739428249807,14.112476897914108
Maine,2020,337.0018390671789,328.3280713785227,410.77284130055324,-0.959421563761727,-0.7143472863739994,-1.6477789240754288,14.115719589405115
Maryland,2016,514.3986679571581,604.8592766789081,520.0317576965862,1.14962060354332,-0.18314228176150765,1.8670552922185872,15.608438344443867
Maryland,2017,498.491586026045,568.5871386090205,408.3961247894169,0.8332870977999118,-0.8387386744613334,0.6695056106295405,15.611956694257795
Maryland,2018,489.0640803038255,514.3986679571581,418.83277476845853,1.517865942794823,-0.349948923236872,-0.14030912073399845,15.614270963348954
Maryland,2019,461.605488662672,498.491586026045,407.1207022465194,2.3041256135731483,-0.06879259343655209,-0.24910240002404443,15.616387337913222
Maryland,2020,402.9193821066144,489.0640803038255,401.87339750552303,2.324121234039041,-0.7454680917106423,-0.8270107349134708,15.61652737871685
Massachusetts,2016,481.1579428410728,627.5070718347035,612.4168837624086,1.3484388708628372,0.04034786560431172,1.0640386207238304,15.736436909181764
Massachusetts,2017,497.5552045877066,540.6412137196645,571.5734080783191,1.1278632832185358,-0.7994980879317374,0.5294173785822354,15.741736815531176
Massachusetts,2018,500.3107881238273,481.1579428410728,596.1127341803939,2.190838264420191,0.1037865286947644,-0.4379296628659861,15.74496025984069
Massachusetts,2019,496.0200194840145,497.5552045877066,606.8780427746751,2.6120309417875887,-0.09928102659596466,-0.741843928933687,15.746290100247583
Massachusetts,2020,472.1788726718535,500.3107881238273,613.1100774075635,2.6434767803758104,-0.6286178747603299,-1.0167127043370572,15.74610023128633
Michigan,2016,280.2860364209101,337.7958973756934,515.7469807522301,1.0432964006153742,0.16135745720880787,1.674033863561917,16.113496792400273
Michigan,2017,287.16760725334257,324.12356033021547,472.3370002415468,0.9175032705318331,-0.47196425556471916,1.007138549819467,16.115768144415206
Michigan,2018,282.85962773069684,280.2860364209101,484.97317046481413,1.988421471151769,0.7020168789336824,-0.18710637588736165,16.116823442043632
Michigan,2019,288.4385708469728,287.16760725334257,484.84223617797795,2.2735834270200663,0.5936541828293583,-0.38760293574471727,16.1165739938251
Michigan,2020,276.9261796076979,282.85962773069684,471.1594506602699,2.2748466574998853,-0.2002900579595443,-0.7676230785687144,16.11474554561666
Minnesota,2016,502.2297189685378,582.2840757684545,417.45376872913255,1.7234332220438544,-0.7089238962931345,1.3334093383002332,15.524858961616417
Minnesota,2017,516.2244403812842,557.0749244803338,353.3742273354137,1.4388595140764269,-1.5775658994498616,0.2213369051734764,15.53277687830347
Minnesota,2018,531.3115443301035,502.2297189685378,490.9491927073549,2.4874113081352722,-1.0320842814176534,-0.5356716568650948,15.539840575784194
