State,Year,Category,CategoryScore
North Dakota,2015,Psychological_Distress,73.25
Ohio,2015,Psychological_Distress,74.5
Oklahoma,2015,Psychological_Distress,73.5
Oregon,2015,Psychological_Distress,61.0
Pennsylvania,2015,Psychological_Distress,73.5
Rhode Island,2015,Psychological_Distress,78.5
South Carolina,2015,Psychological_Distress,77.75
South Dakota,2015,Psychological_Distress,73.0
Tennessee,2015,Psychological_Distress,72.0
Texas,2015,Psychological_Distress,58.5
Utah,2015,Psychological_Distress,76.5
Vermont,2015,Psychological_Distress,78.75
Virginia,2015,Psychological_Distress,44.75
Washington,2015,Psychological_Distress,71.5
West Virginia,2015,Psychological_Distress,88.5
Wisconsin,2015,Psychological_Distress,77.25
Wyoming,2015,Psychological_Distress,70.5
Alabama,2015,Substance_Use,47.5
Alaska,2015,Substance_Use,43.0
Arizona,2015,Substance_Use,50.75
Arkansas,2015,Substance_Use,48.25
California,2015,Substance_Use,40.25
Colorado,2015,Substance_Use,46.5
Connecticut,2015,Substance_Use,55.5
Delaware,2015,Substance_Use,48.75
District of Columbia,2015,Substance_Use,51.5
Florida,2015,Substance_Use,45.5
Georgia,2015,Substance_Use,48.25
Hawaii,2015,Substance_Use,36.5
Idaho,2015,Substance_Use,45.5
Illinois,2015,Substance_Use,44.75
Indiana,2015,Substance_Use,54.0
Iowa,2015,Substance_Use,35.75
Kansas,2015,Substance_Use,32.75
Kentucky,2015,Substance_Use,57.5
Louisiana,2015,Substance_Use,47.5
Maine,2015,Substance_Use,46.25
Maryland,2015,Substance_Use,48.5
Massachusetts,2015,Substance_Use,68.75
Michigan,2015,Substance_Use,51.25
Minnesota,2015,Substance_Use,44.75
Mississippi,2015,Substance_Use,47.25
Missouri,2015,Substance_Use,52.0
Montana,2015,Substance_Use,42.75
Nebraska,2015,Substance_Use,37.5
Nevada,2015,Substance_Use,45.0
New Hampshire,2015,Substance_Use,71.25
New Jersey,2015,Substance_Use,48.5
New Mexico,2015,Substance_Use,50.5
New York,2015,Substance_Use,44.0
North Carolina,2015,Substance_Use,49.5
North Dakota,2015,Substance_Use,39.25
Ohio,2015,Substance_Use,57.25
Oklahoma,2015,Substance_Use,46.25
Oregon,2015,Substance_Use,37.0
Pennsylvania,2015,Substance_Use,58.5
Rhode Island,2015,Substance_Use,63.0
South Carolina,2015,Substance_Use,55.0
South Dakota,2015,Substance_Use,48.0
Tennessee,2015,Substance_Use,55.75
Texas,2015,Substance_Use,39.5
Utah,2015,Substance_Use,43.25
Vermont,2015,Substance_Use,71.25
Virginia,2015,Substance_Use,28.25
Washington,2015,Substance_Use,48.0
West Virginia,2015,Substance_Use,58.75
Wisconsin,2015,Substance_Use,44.5
Wyoming,2015,Substance_Use,27.25
Alabama,2016,Care_Seeking,67.0
Alaska,2016,Care_Seeking,65.0
Arizona,2016,Care_Seeking,67.25
Arkansas,2016,Care_Seeking,68.75
California,2016,Care_Seeking,64.75
Colorado,2016,Care_Seeking,68.5
Connecticut,2016,Care_Seeking,82.0
Delaware,2016,Care_Seeking,70.25
District of Columbia,2016,Care_Seeking,64.5
Florida,2016,Care_Seeking,66.0
Georgia,2016,Care_Seeking,62.75
Hawaii,2016,Care_Seeking,59.75
Idaho,2016,Care_Seeking,60.5
Illinois,2016,Care_Seeking,64.0
Indiana,2016,Care_Seeking,61.25
Iowa,2016,Care_Seeking,63.25
Kansas,2016,Care_Seeking,59.0
Kentucky,2016,Care_Seeking,65.75
Louisiana,2016,Care_Seeking,86.0
Maine,2016,Care_Seeking,65.75
Maryland,2016,Care_Seeking,78.0
Massachusetts,2016,Care_Seeking,71.25
Michigan,2016,Care_Seeking,62.0
Minnesota,2016,Care_Seeking,78.0
Mississippi,2016,Care_Seeking,71.5
Missouri,2016,Care_Seeking,68.0
Montana,2016,Care_Seeking,77.0
Nebraska,2016,Care_Seeking,64.0
Nevada,2016,Care_Seeking,61.5
New Hampshire,2016,Care_Seeking,62.75
New Jersey,2016,Care_Seeking,77.0
New Mexico,2016,Care_Seeking,63.0
New York,2016,Care_Seeking,82.5
North Carolina,2016,Care_Seeking,65.75
North Dakota,2016,Care_Seeking,59.0
Ohio,2016,Care_Seeking,62.75
Oklahoma,2016,Care_Seeking,63.0
Oregon,2016,Care_Seeking,63.75
Pennsylvania,2016,Care_Seeking,74.0
Rhode Island,2016,Care_Seeking,71.5
South Carolina,2016,Care_Seeking,65.75
South Dakota,2016,Care_Seeking,60.0
Tennessee,2016,Care_Seeking,67.5
Texas,2016,Care_Seeking,65.5
Utah,2016,Care_Seeking,69.5
Vermont,2016,Care_Seeking,63.25
