State,Year,admission_rate_per_100k,admission_rate_lag2,neighbor_admission_rate_lag1,search_PC1,search_PC2,search_PC3,log_state_population
Iowa,2017,607.5577641110857,144.11339995215434,525.9472751963045,-0.9158819492091809,0.4355376942979659,0.8953937113667304,14.960921823354015
Iowa,2018,606.3684561414648,110.11071712397192,535.9477315441095,-0.5182975304154325,1.5050218883461821,-0.28441647176715396,14.962881264266153
Iowa,2019,595.012780114926,607.5577641110857,539.9878475518403,0.307985531378855,2.140814861120128,-0.40495114744855143,14.965954729288564
Iowa,2020,554.7545945850262,606.3684561414648,557.9735084163682,-0.12024980167439732,1.220403913218851,-0.17630540756161106,14.967208849823507
Kansas,2016,374.1876437747363,415.25076494015394,455.8315623014439,-1.3363683856489041,0.38544932572112645,1.7141328888126104,14.884686140270167
Kansas,2017,389.9148439722257,401.9628153475587,428.3239962461862,-0.5875136092468285,0.7611748957885687,1.3185197338923198,14.883970121386817
Kansas,2018,372.500470346216,374.1876437747363,442.3720989701637,0.013987707298545789,1.0948799965902736,0.8501914421695107,14.884607523445611
Kansas,2019,415.43138772966745,389.9148439722257,430.3828553455659,1.380776169206786,2.188081611143089,0.4293170900841616,14.884568727713207
Kansas,2020,403.2527914531,372.500470346216,444.93781128745735,0.6711963399336933,1.6732083983436938,0.21172308558736477,14.88497034517283
Kentucky,2016,481.948766594014,503.7364794864922,550.557724378663,-0.016016076594961876,0.88890470782491,1.4487770025997677,15.306233850952527
Kentucky,2017,501.617069793226,521.5475920079944,518.5612273983826,-0.10241950353103603,0.9411683991975228,1.0761694717918222,15.309670045584014
Kentucky,2018,449.1212790974029,481.948766594014,531.0972818134353,0.5283455074592042,1.6897706802804464,0.4935019735118554,15.311616937087315
Kentucky,2019,408.06333142903776,501.617069793226,526.9224451586049,1.2122557873058764,0.7133963851304583,-0.10242658268784115,15.313423437531938
Kentucky,2020,380.81403075235227,449.1212790974029,506.9308510696481,0.36195610314057386,1.1997778383849085,0.30610709996953384,15.31451979998035
Louisiana,2016,595.9824375297189,474.6081415636627,415.10206685386856,-1.2789738580740104,-0.07062150628288875,2.1763730549411937,15.359096233380518
Louisiana,2017,460.0236259575713,560.3173603245598,388.4685566097061,-0.663427165783776,0.2824206907902417,1.4910093599005922,15.357455830144433
Louisiana,2018,454.5016025469241,595.9824375297189,399.4071891900235,0.09502095278256116,1.3980380635855723,0.4974564938308329,15.355480486063186
Louisiana,2019,549.5584748464295,460.0236259575713,412.8851252680904,0.4823645809657263,1.7701474451981452,0.30839294418032537,15.354157912612658
Louisiana,2020,430.54103077550343,454.5016025469241,433.51911330186135,0.6581409615233703,1.5058411870437307,-0.09182502439659901,15.35137038859719
Maine,2016,337.74959695214767,484.5190528666626,394.8210262854579,-3.2950069283464924,-0.6291205731331566,0.8172113937541671,14.102453357220952
Maine,2017,348.1208585783343,406.2905820338305,407.01229080593055,-3.5476800146020158,-0.4795679714983119,0.023435982015370494,14.104998249304696
Maine,2018,328.3280713785227,337.74959695214767,408.6863708548655,-0.7464063367261815,1.2836499123879648,-1.8691939711148937,14.10827195875933
